parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
27101:003:0221,0.029,attribute:mets,reported_m2,412.169381,1421173.727586,5.0,comparable,
27101:003:0222,3.3948,attribute:mets,reported_m2,412.169381,12041.197744,5.0,comparable,
27101:003:0230,1.329,attribute:mets,reported_m2,412.169381,30913.497442,5.0,comparable,
27101:003:0241,1.5527,geometry,capped_to_land_area,412.169381,26445.332711,5.0,comparable,
27101:003:0243,7.6372,attribute:mets,reported_m2,412.169381,5296.865095,5.0,comparable,
27101:003:0252,17.7499,attribute:mets,reported_m2,412.169381,2222.094102,5.0,comparable,
27101:003:0263,5.293,attribute:mets,reported_m2,412.169381,7687.065577,5.0,comparable,
27101:003:0264,15.8043,geometry,capped_to_land_area,412.169381,2507.957208,5.0,comparable,
27101:003:0271,0.4641,attribute:mets,reported_m2,412.169381,88710.467787,5.0,comparable,
27101:003:0272,14.8687,attribute:mets,reported_m2,412.169381,2672.060644,5.0,comparable,
27101:003:0281,4.1073,attribute:mets,reported_m2,412.169381,9935.044457,5.0,comparable,
27101:003:0303,1.9046,attribute:mets,reported_m2,412.169381,21540.731965,5.0,comparable,
27101:003:0321,2.5932,geometry,capped_to_land_area,412.169381,15794.238046,5.0,comparable,
27101:003:0330,1.1978,geometry,capped_to_land_area,412.169381,34310.534396,5.0,comparable,
27101:003:0351,9.2153,geometry,capped_to_land_area,412.169381,4372.663733,5.0,comparable,
27101:003:0352,0.6659,attribute:mets,reported_m2,412.169381,61796.588226,5.0,comparable,
27101:003:0362,7.7245,attribute:mets,reported_m2,412.169381,5235.871331,5.0,comparable,
27101:003:0372,5.1954,attribute:mets,reported_m2,412.169381,7833.352215,5.0,comparable,
27101:003:0382,3.1754,attribute:mets,reported_m2,412.169381,12880.077502,5.0,comparable,
27101:003:0391,1.8984,attribute:mets,reported_m2,412.169381,21611.408607,5.0,comparable,
27101:003:0392,2.8276,attribute:mets,reported_m2,412.169381,14476.650905,5.0,comparable,
27101:003:0401,1.399,geometry,capped_to_land_area,412.169381,29361.714153,5.0,comparable,
27101:003:0402,3.3668,geometry,capped_to_land_area,412.169381,12142.170043,5.0,comparable,
27101:003:0403,8.4422,geometry,capped_to_land_area,412.169381,4782.250847,5.0,comparable,
27101:003:0404,1.6513,attribute:mets,reported_m2,412.169381,24860.296796,5.0,comparable,
27101:003:0421,1.2562,attribute:mets,reported_m2,412.169381,32710.808868,5.0,comparable,
27101:003:0422,8.1664,geometry,capped_to_land_area,412.169381,4947.136817,5.0,comparable,
27101:003:0423,0.3519,attribute:mets,reported_m2,412.169381,117026.848821,5.0,comparable,
27101:003:0431,5.7348,geometry,capped_to_land_area,412.169381,7087.162255,5.0,comparable,
27101:003:0432,0.7726,attribute:mets,reported_m2,412.169381,53248.353741,5.0,comparable,
