parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
27101:003:0081,128605.0,attribute:haritav,reported_ha,416.060874,-99.676482,5.0,comparable,
27101:003:0082,47625.0,attribute:haritav,reported_ha,416.060874,-99.126381,5.0,comparable,
27101:003:0083,54978.0,attribute:haritav,reported_ha,416.060874,-99.243223,5.0,comparable,
27101:003:0084,214143.0,attribute:haritav,reported_ha,416.060874,-99.805709,5.0,comparable,
27101:003:0085,0.0502,attribute:mets,reported_m2,416.060874,828706.521912,5.0,comparable,
27101:003:0086,78299.0,attribute:haritav,reported_ha,416.060874,-99.468626,5.0,comparable,
27101:003:0087,7314.0,attribute:haritav,reported_ha,416.060874,-94.311446,5.0,comparable,
27101:003:0088,0.4049,attribute:mets,reported_m2,416.060874,102656.451963,5.0,comparable,
27101:003:0091,82.0,attribute:haritav,reported_ha,416.060874,407.39131,5.0,comparable,
27101:003:0092,0.1903,attribute:mets,reported_m2,416.060874,218534.195481,5.0,comparable,
27101:003:0093,10.4549,attribute:mets,reported_m2,416.060874,3879.577748,5.0,comparable,
27101:003:0095,0.491386,geometry,geodesic_wgs84_pyproj,416.060874,84570.884803,5.0,comparable,
27101:003:0096,20.7407,attribute:mets,reported_m2,416.060874,1906.011726,5.0,comparable,
27101:003:0097,9.6258,attribute:mets,reported_m2,416.060874,4222.351119,5.0,comparable,
27101:003:0099,26.2631,attribute:mets,reported_m2,416.060874,1484.203213,5.0,comparable,
27101:003:0101,228760.0,attribute:haritav,reported_ha,416.060874,-99.818123,5.0,comparable,
27101:003:0102,11.3952,attribute:mets,reported_m2,416.060874,3551.194134,5.0,comparable,
27101:003:0104,0.0498,attribute:mets,reported_m2,416.060874,835363.60241,5.0,comparable,
27101:003:0105,1.228935,geometry,geodesic_wgs84_pyproj,416.060874,33755.40114,5.0,comparable,
27101:003:0106,189.0,attribute:haritav,reported_ha,416.060874,120.138029,5.0,comparable,
27101:003:0108,0.961481,geometry,geodesic_wgs84_pyproj,416.060874,43172.916886,5.0,comparable,
27101:003:0109,1146.0,attribute:haritav,reported_ha,416.060874,-63.694514,5.0,comparable,
27101:003:0110,129.0,attribute:haritav,reported_ha,416.060874,222.527809,5.0,comparable,
27101:003:0111,1.786,attribute:mets,reported_m2,416.060874,23195.681635,5.0,comparable,
27101:003:0112,3.0386,attribute:mets,reported_m2,416.060874,13592.518726,5.0,comparable,
27101:003:0113,539.0,attribute:haritav,reported_ha,416.060874,-22.808743,5.0,comparable,
27101:003:0114,10011.0,attribute:haritav,reported_ha,416.060874,-95.843963,5.0,comparable,
27101:003:0115,4.539535,geometry,geodesic_wgs84_pyproj,416.060874,9065.275166,5.0,comparable,
27101:003:0116,0.338699,geometry,geodesic_wgs84_pyproj,416.060874,122740.892356,5.0,comparable,
27101:003:0117,0.288589,geometry,geodesic_wgs84_pyproj,416.060874,144070.732079,5.0,comparable,
27101:003:0118,0.6823,attribute:mets,reported_m2,416.060874,60879.169574,5.0,comparable,
27101:003:0119,0.189268,geometry,geodesic_wgs84_pyproj,416.060874,219726.31718,5.0,comparable,
27101:003:0120,5.112,attribute:mets,reported_m2,416.060874,8038.905986,5.0,comparable,
27101:003:0125,0.8727,attribute:mets,reported_m2,416.060874,47575.13166,5.0,comparable,
27101:003:0126,1.1539,attribute:mets,reported_m2,416.060874,35956.926423,5.0,comparable,
27101:003:0127,0.5378,attribute:mets,reported_m2,416.060874,77263.494608,5.0,comparable,
27101:003:0128,0.439816,geometry,geodesic_wgs84_pyproj,416.060874,94498.849064,5.0,comparable,
27101:003:0129,2.1175,attribute:mets,reported_m2,416.060874,19548.683542,5.0,comparable,
27101:003:0130,8.2928,attribute:mets,reported_m2,416.060874,4917.133827,5.0,comparable,
27101:003:0131,0.6327,attribute:mets,reported_m2,416.060874,65659.581792,5.0,comparable,
27101:003:0132,20.1397,attribute:mets,reported_m2,416.060874,1965.874238,5.0,comparable,
27101:003:0133,1.0505,attribute:mets,reported_m2,416.060874,39505.98515,5.0,comparable,
27101:003:0134,34.0133,attribute:mets,reported_m2,416.060874,1123.229954,5.0,comparable,
27101:003:0137,0.408874,geometry,geodesic_wgs84_pyproj,416.060874,101657.723406,5.0,comparable,
27101:003:0138,0.154642,geometry,geodesic_wgs84_pyproj,416.060874,268947.783914,5.0,comparable,
27101:003:0139,13.6616,attribute:mets,reported_m2,416.060874,2945.476913,5.0,comparable,
27101:003:0140,0.8049,attribute:mets,reported_m2,416.060874,51591.001864,5.0,comparable,
27101:003:0141,2.3942,attribute:mets,reported_m2,416.060874,17277.86626,5.0,comparable,
27101:003:0142,4.2735,attribute:mets,reported_m2,416.060874,9635.834187,5.0,comparable,
27101:003:0143,0.935643,geometry,geodesic_wgs84_pyproj,416.060874,44367.908593,5.0,comparable,
27101:003:0145,29.5479,attribute:mets,reported_m2,416.060874,1308.089489,5.0,comparable,
27101:003:0146,0.3499,attribute:mets,reported_m2,416.060874,118808.509288,5.0,comparable,
27101:003:0147,7636.0,attribute:haritav,reported_ha,416.060874,-94.551324,5.0,comparable,
27101:003:0148,0.087,attribute:mets,reported_m2,416.060874,478130.889655,5.0,comparable,
27101:003:0149,0.5129,attribute:mets,reported_m2,416.060874,81019.296939,5.0,comparable,
27101:003:0150,100326.0,attribute:haritav,reported_ha,416.060874,-99.585291,5.0,comparable,
27101:003:0151,2.205,attribute:mets,reported_m2,416.060874,18768.973878,5.0,comparable,
27101:003:0152,0.007,attribute:mets,reported_m2,416.060874,5943626.771429,5.0,comparable,
27101:003:0153,1897.0,attribute:haritav,reported_ha,416.060874,-78.067429,5.0,comparable,
27101:003:0154,14348.0,attribute:haritav,reported_ha,416.060874,-97.100217,5.0,comparable,
27101:003:0155,9242.0,attribute:haritav,reported_ha,416.060874,-95.498151,5.0,comparable,
27101:003:0156,0.2155,attribute:mets,reported_m2,416.060874,192967.690951,5.0,comparable,
27101:003:0157,10.7487,attribute:mets,reported_m2,416.060874,3770.801809,5.0,comparable,
27101:003:0158,0.0342,attribute:mets,reported_m2,416.060874,1216452.263158,5.0,comparable,
27101:003:0159,13633.0,attribute:haritav,reported_ha,416.060874,-96.948134,5.0,comparable,
27101:003:0160,0.1634,attribute:mets,reported_m2,416.060874,254527.21787,5.0,comparable,
27101:003:0161,0.0131,attribute:mets,reported_m2,416.060874,3175937.206107,5.0,comparable,
27101:003:0162,0.113438,geometry,geodesic_wgs84_pyproj,416.060874,366673.809482,5.0,comparable,
27101:003:0163,1049.0,attribute:haritav,reported_ha,416.060874,-60.337381,5.0,comparable,
